iteration_num	sequential_player	serpentine_player	choice	sum	sd	spot	true_rank	rank	sum_rank	sd_rank	num_players
8	Player1	Player1	Pick #1	11.96	2.07	s8	4	1	1	21	Four players
8	Player2	Player2	Pick #2	11.3	0.43	s23	15	3	2	3	Four players
8	Player3	Player3	Pick #3	11.08	0.79	s10	15.5	4	3	6	Four players
8	Player4	Player4	Pick #4	10.71	1.09	s1	17	5	5	11	Four players
8	Player1	Player4	Pick #5	9.86	2.26	s17	19.5	7	9	22	Four players
8	Player2	Player3	Pick #6	9.54	1.69	s5	26.5	10	11	16	Four players
8	Player3	Player2	Pick #7	9.3	0.36	s20	36	14	12	1	Four players
8	Player4	Player1	Pick #8	8.3	0.8	s13	41	17	16	7	Four players
8	Player1	Player1	Pick #1	11.65	1.65	s23	6.5	1	1	16	Four players
8	Player2	Player2	Pick #2	11.5	1.59	s14	10.75	2	2	13	Four players
8	Player3	Player3	Pick #3	11.38	0.51	s1	19.5	4	4	2	Four players
8	Player4	Player4	Pick #4	11.23	1.35	s17	19.5	5	6	10	Four players
8	Player1	Player4	Pick #5	11.26	0.45	s10	22	8	5	1	Four players
8	Player2	Player3	Pick #6	9.9	1	s8	29.5	11	10	6	Four players
8	Player3	Player2	Pick #7	9.35	1.09	s19	33	14	12	7	Four players
8	Player4	Player1	Pick #8	5.93	2.15	s5	43	20	20	19	Four players
8	Player1	Player1	Pick #1	12.42	1.76	s15	5.5	1	1	18	Four players
8	Player2	Player2	Pick #2	11.67	0.22	s12	15	3	2	3	Four players
8	Player3	Player3	Pick #3	10.4	1.23	s2	18.5	5	6	12	Four players
8	Player4	Player4	Pick #4	10.73	0.14	s10	22	7	5	1	Four players
8	Player1	Player4	Pick #5	10.23	1	s18	23.5	8	7	6	Four players
8	Player2	Player3	Pick #6	9.59	1.02	s8	29	11	10	7	Four players
8	Player3	Player2	Pick #7	6.99	2.06	s4	42.5	19	20	20	Four players
8	Player4	Player1	Pick #8	6.07	2.23	s20	44	20	21	21	Four players
8	Player1	Player1	Pick #1	13.11	1.7	s1	6.5	1	1	16	Four players
8	Player2	Player2	Pick #2	10.53	2	s17	13.25	2	5	20	Four players
8	Player3	Player3	Pick #3	10.86	1.52	s8	14	4	4	13	Four players
8	Player4	Player4	Pick #4	11.85	0.64	s12	15	5	2	3	Four players
8	Player1	Player4	Pick #5	10.31	1.76	s4	17.5	7	7	18	Four players
8	Player2	Player3	Pick #6	9.71	1.03	s20	29.5	10	10	6	Four players
8	Player3	Player2	Pick #7	9.44	1.13	s22	31.25	11	11	8	Four players
8	Player4	Player1	Pick #8	9.26	1.02	s24	36	16	13	5	Four players
8	Player1	Player1	Pick #1	12.98	1.56	s11	8.5	1	2	16	Four players
8	Player2	Player2	Pick #2	11.72	1.65	s4	8.5	2	3	20	Four players
8	Player3	Player3	Pick #3	10.71	1.62	s16	14	5	5	17	Four players
8	Player4	Player4	Pick #4	8.91	2.64	s9	20.5	7	10	24	Four players
8	Player1	Player4	Pick #5	8.99	0.74	s14	28	10	9	5	Four players
8	Player2	Player3	Pick #6	8.74	1.01	s18	31.5	11	11	8	Four players
8	Player3	Player2	Pick #7	8.28	1.26	s2	32	12	13	13	Four players
8	Player4	Player1	Pick #8	8.74	0.89	s20	32.5	13	11	6	Four players
8	Player1	Player1	Pick #1	13.02	1.55	s20	8	1	1	13	Four players
8	Player2	Player2	Pick #2	11.95	2.11	s2	10.5	3	4	20	Four players
8	Player3	Player3	Pick #3	12.84	0.66	s23	15	4	2	3	Four players
8	Player4	Player4	Pick #4	11.9	0.63	s13	21.5	7	5	2	Four players
8	Player1	Player4	Pick #5	10.96	1	s11	24	9	7	5	Four players
8	Player2	Player3	Pick #6	8.81	1.57	s9	35.5	15	15	14	Four players
8	Player3	Player2	Pick #7	7.84	1.77	s16	36	16	16	17	Four players
8	Player4	Player1	Pick #8	7.35	2.93	s18	39	17	19	23	Four players
8	Player1	Player1	Pick #1	13.77	1.6	s4	10	1	4	21	Four players
8	Player2	Player2	Pick #2	14.91	0.85	s21	14.25	3	2	6	Four players
8	Player3	Player3	Pick #3	11.99	0.96	s8	18	7	6	13	Four players
8	Player4	Player4	Pick #4	9.53	1.3	s19	29.75	11	13	19	Four players
8	Player1	Player4	Pick #5	9.53	1.3	s16	29.75	12	13	19	Four players
8	Player2	Player3	Pick #6	9.14	0.9	s23	38	15	15	9	Four players
8	Player3	Player2	Pick #7	6.45	2.04	s14	39.5	18	19	22	Four players
8	Player4	Player1	Pick #8	7.3	0.95	s10	42.5	19	18	12	Four players
8	Player1	Player1	Pick #1	12.14	1.6	s1	9.5	1	2	14	Four players
8	Player2	Player2	Pick #2	12.22	1.12	s5	10.5	2	1	8	Four players
8	Player3	Player3	Pick #3	11.22	2.16	s17	11	3	5	23	Four players
8	Player4	Player4	Pick #4	11.43	0.75	s12	17.5	5	3	2	Four players
8	Player1	Player4	Pick #5	10.47	1.07	s8	21	7	6	7	Four players
8	Player2	Player3	Pick #6	9.53	1.56	s3	28	11	11	13	Four players
8	Player3	Player2	Pick #7	8.87	1.74	s21	34	13	15	17	Four players
8	Player4	Player1	Pick #8	7.83	1.79	s24	37.5	16	17	18	Four players
8	Player1	Player1	Pick #1	14.4	1.62	s11	7	1	1	15	Four players
8	Player2	Player2	Pick #2	13.08	1.38	s22	10.5	3	2	12	Four players
8	Player3	Player3	Pick #3	12.63	0.62	s20	20.75	6	5	3	Four players
8	Player4	Player4	Pick #4	10.89	1	s6	30	10	10	5	Four players
8	Player1	Player4	Pick #5	9.68	1.22	s4	33	12	13	11	Four players
8	Player2	Player3	Pick #6	10.42	0.5	s13	34	13	11	1	Four players
8	Player3	Player2	Pick #7	9.57	1.13	s1	37	14	14	7	Four players
8	Player4	Player1	Pick #8	7.05	2.71	s17	41	17	20	23	Four players
8	Player1	Player1	Pick #1	13.96	1.61	s17	6.5	1	1	16	Four players
8	Player2	Player2	Pick #2	11.17	2.34	s1	8.5	3	4	24	Four players
8	Player3	Player3	Pick #3	10.99	2.24	s9	12	4	5	21	Four players
8	Player4	Player4	Pick #4	11.42	0.9	s15	15	5	3	7	Four players
8	Player1	Player4	Pick #5	10.83	1.33	s13	24.5	9	9	12	Four players
8	Player2	Player3	Pick #6	8.58	1.72	s23	34	13	15	17	Four players
8	Player3	Player2	Pick #7	9.58	0.52	s6	38	14	13	1	Four players
8	Player4	Player1	Pick #8	8.53	0.92	s11	40.5	16	16	8	Four players
8	Player1	Player1	Pick #1	12.28	0.62	s16	13	1	1	3	Four players
8	Player2	Player2	Pick #2	10.97	0.76	s24	13.25	3	2	8	Four players
8	Player3	Player3	Pick #3	9.97	1.09	s14	16.5	5	6	16	Four players
8	Player4	Player4	Pick #4	9.65	1.23	s20	19.5	7	8	18	Four players
8	Player1	Player4	Pick #5	9.2	1	s12	27.75	10	11	13	Four players
8	Player2	Player3	Pick #6	9.56	0.17	s18	30	12	9	1	Four players
8	Player3	Player2	Pick #7	8.71	0.75	s4	35	13	13	7	Four players
8	Player4	Player1	Pick #8	7.66	1.78	s22	36.75	14	17	21	Four players
8	Player1	Player1	Pick #1	14.14	1.42	s9	12	1	3	13	Four players
8	Player2	Player2	Pick #2	15.13	0.52	s7	15	4	2	3	Four players
8	Player3	Player3	Pick #3	12.62	0.57	s15	21.25	7	5	4	Four players
8	Player4	Player4	Pick #4	9.13	1.78	s13	22.5	10	9	16	Four players
8	Player1	Player4	Pick #5	8.54	1.73	s5	27	11	11	15	Four players
8	Player2	Player3	Pick #6	8.42	1.79	s17	28	12	12	17	Four players
8	Player3	Player2	Pick #7	8.19	1.53	s11	31.5	14	13	14	Four players
8	Player4	Player1	Pick #8	6.62	2.94	s21	37.5	17	18	24	Four players
8	Player1	Player1	Pick #1	13.56	1.52	s12	11	1	2	11	Four players
8	Player2	Player2	Pick #2	13.92	1.03	s18	12.5	2	1	4	Four players
8	Player3	Player3	Pick #3	12.59	1.07	s15	16	4	3	5	Four players
8	Player4	Player4	Pick #4	11.45	1.4	s9	21.5	9	7	10	Four players
8	Player1	Player4	Pick #5	8.11	2.67	s2	33.5	14	16	22	Four players
8	Player2	Player3	Pick #6	8.04	2.41	s5	36.5	16	17	20	Four players
8	Player3	Player2	Pick #7	7.43	2.97	s20	41	18	20	23	Four players
8	Player4	Player1	Pick #8	7.97	0.73	s7	50	22	19	1	Four players
8	Player1	Player1	Pick #1	13.6	1.03	s5	9.5	1	1	10	Four players
8	Player2	Player2	Pick #2	12.82	0.85	s15	12.5	2	2	8	Four players
8	Player3	Player3	Pick #3	11.98	1.3	s21	13.5	4	4	14	Four players
8	Player4	Player4	Pick #4	11.7	1.13	s23	17.5	6	5	12	Four players
8	Player1	Player4	Pick #5	11.7	0.14	s10	22.5	7	5	2	Four players
8	Player2	Player3	Pick #6	10.67	0.42	s8	34	14	12	5	Four players
8	Player3	Player2	Pick #7	9.28	2.17	s3	36.5	16	17	20	Four players
8	Player4	Player1	Pick #8	6.45	1.87	s17	43	19	20	19	Four players
8	Player1	Player1	Pick #1	11.43	1.62	s10	9	1	3	19	Four players
8	Player2	Player2	Pick #2	14.29	1.08	s8	9.5	2	1	10	Four players
8	Player3	Player3	Pick #3	11.29	1.59	s2	11.5	3	4	18	Four players
8	Player4	Player4	Pick #4	10.91	0.87	s19	21	7	5	3	Four players
8	Player1	Player4	Pick #5	9.42	1.05	s23	32.5	11	12	8	Four players
8	Player2	Player3	Pick #6	9.57	0.54	s17	34	12	11	1	Four players
8	Player3	Player2	Pick #7	9.4	1.06	s13	34	13	13	9	Four players
8	Player4	Player1	Pick #8	9.31	1.01	s21	38.75	17	14	5	Four players
8	Player1	Player1	Pick #1	12.81	2.77	s17	3.5	1	1	22	Four players
8	Player2	Player2	Pick #2	12.56	1.2	s21	14.25	2	2	6	Four players
8	Player3	Player3	Pick #3	12.54	1.54	s8	14.75	4	4	13	Four players
8	Player4	Player4	Pick #4	9.79	2.85	s1	19	6	9	23	Four players
8	Player1	Player4	Pick #5	11.13	0.46	s23	28	9	8	1	Four players
8	Player2	Player3	Pick #6	9.45	1.17	s14	30.5	11	10	4	Four players
8	Player3	Player2	Pick #7	9.18	0.7	s10	35.5	14	12	2	Four players
8	Player4	Player1	Pick #8	8.54	0.87	s5	39	17	14	3	Four players
8	Player1	Player1	Pick #1	14.48	1.62	s14	6.5	1	1	16	Four players
8	Player2	Player2	Pick #2	11.32	1.94	s24	13	4	5	19	Four players
8	Player3	Player3	Pick #3	11.8	1.58	s16	14	5	4	13	Four players
8	Player4	Player4	Pick #4	10.04	3.26	s11	16.5	6	8	24	Four players
8	Player1	Player4	Pick #5	11.24	0.54	s3	21.5	8	6	6	Four players
8	Player2	Player3	Pick #6	9.26	0.24	s21	36.75	14	12	1	Four players
8	Player3	Player2	Pick #7	8.71	0.5	s5	44	17	17	5	Four players
8	Player4	Player1	Pick #8	8.64	1.3	s18	45	18	19	11	Four players
8	Player1	Player1	Pick #1	14.45	1.21	s20	11.25	1	2	10	Four players
8	Player2	Player2	Pick #2	14.53	0.85	s18	12	2	1	5	Four players
