director	title	release_date	rating	reviews	time_mins	is_film
John Ford	Chesty: A Tribute to a Legend	4 April 1976	7.4	59	47	FALSE
John Ford	7 Women	24 March 1966West Germany	6.9	1289	87	TRUE
John Ford	Young Cassidy	22 April 1965Argentina	6.5	647	110	TRUE
John Ford	Cheyenne Autumn	3 October 1964	6.9	3169	154	TRUE
John Ford	Donovan's Reef	12 June 1963	6.9	4919	109	TRUE
John Ford	How the West Was Won	20 February 1963	7.1	12445	164	TRUE
John Ford	Alcoa Premiere	NA	7.5	73	60	FALSE
John Ford	The Man Who Shot Liberty Valance	22 April 1962	8.1	46116	123	TRUE
John Ford	Two Rode Together	26 July 1961	6.9	3264	109	TRUE
John Ford	Wagon Train	NA	7.9	812	75	FALSE
John Ford	Sergeant Rutledge	18 May 1960	7.5	2284	111	TRUE
John Ford	Korea	NA	5.9	36	40	FALSE
John Ford	The Horse Soldiers	12 June 1959	7.2	5665	115	TRUE
John Ford	The Last Hurrah	November 1958	7.4	1849	121	TRUE
John Ford	Gideon of Scotland Yard	February 1959	6.6	484	91	TRUE
John Ford	The Rising of the Moon	10 August 1957	6.9	455	81	TRUE
John Ford	The Wings of Eagles	22 February 1957	6.8	2249	110	TRUE
John Ford	The Searchers	13 March 1956	8	53956	119	TRUE
John Ford	Screen Directors Playhouse	NA	7.5	81	30	FALSE
John Ford	Jane Wyman Presents The Fireside Theatre	NA	7.9	26	30	FALSE
John Ford	Mister Roberts	4 December 1955Japan	7.9	11604	123	TRUE
John Ford	The Long Gray Line	9 February 1955	7.3	1571	138	TRUE
John Ford	Mogambo	9 October 1953	6.7	5076	116	TRUE
John Ford	The Sun Shines Bright	2 May 1953	7.2	678	90	TRUE
John Ford	What Price Glory	16 March 1953Sweden	6.3	809	111	TRUE
John Ford	The Quiet Man	14 September 1952	8	22934	129	TRUE
John Ford	This Is Korea!	10 August 1951	6.2	101	50	FALSE
John Ford	Rio Grande	15 November 1950	7.3	8804	105	TRUE
John Ford	Wagon Master	19 April 1950	7.2	2639	86	TRUE
John Ford	When Willie Comes Marching Home	February 1950	6.6	422	82	TRUE
John Ford	She Wore a Yellow Ribbon	22 October 1949	7.4	10299	103	TRUE
John Ford	Pinky	November 1949	7.2	1641	102	TRUE
John Ford	Fireside Theatre	NA	8.1	37	30	FALSE
John Ford	3 Godfathers	1 December 1948	7.2	5394	106	TRUE
John Ford	Fort Apache	14 June 1948Brazil	7.6	10783	125	TRUE
John Ford	The Fugitive	3 November 1947	6.6	1325	104	TRUE
John Ford	My Darling Clementine	3 December 1946	7.8	14178	97	TRUE
John Ford	They Were Expendable	20 December 1945	7.3	5002	135	TRUE
John Ford	Undercover	1944	NA	NA	61	FALSE
John Ford	December 7th	NA	6.4	367	82	TRUE
John Ford	German Industrial Manpower	NA	NA	NA	0	FALSE
John Ford	How to Operate Behind Enemy Lines	NA	7	11	0	FALSE
John Ford	We Sail at Midnight	NA	4.2	20	27	FALSE
John Ford	Torpedo Squadron	NA	6.2	58	8	FALSE
John Ford	The Battle of Midway	14 September 1942	6.5	539	18	FALSE
John Ford	Sex Hygiene	February 1942	5.3	99	30	FALSE
John Ford	How Green Was My Valley	9 April 1942Australia	7.9	13619	118	TRUE
John Ford	Tobacco Road	7 March 1941	6.7	1254	84	TRUE
John Ford	The Long Voyage Home	11 November 1940	7.2	2353	105	TRUE
John Ford	The Grapes of Wrath	15 March 1940	8.2	50650	129	TRUE
John Ford	Drums Along the Mohawk	10 November 1939	7.2	3626	104	TRUE
John Ford	Young Mr. Lincoln	9 June 1939	7.7	4429	100	TRUE
John Ford	Stagecoach	2 March 1939	7.9	26340	96	TRUE
John Ford	Submarine Patrol	25 November 1938	5.8	103	95	TRUE
John Ford	Four Men and a Prayer	29 April 1938	6.2	407	85	TRUE
John Ford	The Hurricane	13 February 1938Finland	7.3	1518	110	TRUE
John Ford	Wee Willie Winkie	30 July 1937	7	797	100	TRUE
John Ford	The Plough and the Stars	26 December 1936	5.8	215	72	FALSE
John Ford	Mary of Scotland	28 August 1936	6.5	1482	123	TRUE
John Ford	The Prisoner of Shark Island	28 February 1936	7.4	1216	96	TRUE
John Ford	Steamboat Round the Bend	6 September 1935	7.3	568	82	TRUE
John Ford	The Informer	10 July 1935Argentina	7.6	3790	91	TRUE
John Ford	The Whole Town's Talking	22 February 1935	7.4	1236	93	TRUE
John Ford	Judge Priest	28 September 1934	6.6	1127	80	TRUE
John Ford	The World Moves On	31 August 1934	5.9	210	104	TRUE
John Ford	The Lost Patrol	16 February 1934	7	1870	73	FALSE
John Ford	Doctor Bull	22 September 1933	6.7	348	77	FALSE
John Ford	Pilgrimage	18 August 1933	7.3	364	96	TRUE
John Ford	Flesh	8 December 1932	6.5	326	96	TRUE
John Ford	Air Mail	3 November 1932	6.6	219	84	TRUE
John Ford	Arrowsmith	26 December 1931	6.2	867	108	TRUE
John Ford	The Brat	20 September 1931	5.6	42	60	FALSE
John Ford	Seas Beneath	29 March 1931	5.8	178	90	TRUE
John Ford	Up the River	12 October 1930	6.1	664	92	TRUE
John Ford	Born Reckless	6 June 1930	5.7	179	82	TRUE
John Ford	Men Without Women	9 February 1930	5.8	143	77	FALSE
John Ford	Salute	1 September 1929	5.5	121	84	TRUE
John Ford	The Black Watch	22 May 1929	6	158	93	TRUE
John Ford	Strong Boy	3 March 1929	4.1	20	62	FALSE
John Ford	Riley the Cop	25 November 1928	6.1	101	68	FALSE
John Ford	Napoleon's Barber	24 November 1928	3.2	15	32	FALSE
John Ford	Hangman's House	13 May 1928	6.5	266	80	TRUE
John Ford	Four Sons	13 February 1928	7.1	407	100	TRUE
John Ford	Mother Machree	19 December 1928Finland	5.5	85	75	FALSE
John Ford	Upstream	30 January 1927	6.2	170	60	FALSE
John Ford	The Blue Eagle	12 September 1926	5.7	94	58	FALSE
John Ford	3 Bad Men	28 August 1926	7.5	526	122	TRUE
John Ford	The Shamrock Handicap	2 May 1926	5.8	83	66	FALSE
John Ford	The Fighting Heart	18 October 1925	3.2	18	70	FALSE
John Ford	Thank You	1 November 1925	3.9	21	70	FALSE
John Ford	Kentucky Pride	6 September 1925	5.7	44	70	FALSE
John Ford	Lightnin'	23 August 1925	5.8	59	104	TRUE
John Ford	Hearts of Oak	5 October 1924	3.1	17	0	FALSE
John Ford	The Iron Horse	1925Germany	7.3	1169	150	TRUE
John Ford	Hoodman Blind	20 December 1923	3.3	15	60	FALSE
John Ford	North of Hudson Bay	18 November 1923	4.8	26	0	FALSE
John Ford	Cameo Kirby	21 October 1923	7.6	256	70	FALSE
John Ford	Three Jumps Ahead	25 March 1923	4.1	21	50	FALSE
John Ford	The Face on the Bar-Room Floor	1 January 1923	3.1	16	60	FALSE
John Ford	The Village Blacksmith	1 January 1923	4.9	41	80	TRUE
John Ford	Silver Wings	22 May 1922	3.9	17	90	TRUE
John Ford	Little Miss Smiles	15 January 1922	3.8	17	50	FALSE
John Ford	Jackie	27 November 1921	5.2	22	50	FALSE
John Ford	Sure Fire	5 November 1921	4.2	19	50	FALSE
John Ford	Action	12 September 1921	5.3	25	50	FALSE
John Ford	Desperate Trails	June 1921	4	19	50	FALSE
John Ford	The Wallop	9 May 1921	4.4	20	50	FALSE
John Ford	The Freeze-Out	9 April 1921	4.1	20	50	FALSE
John Ford	The Big Punch	13 February 1921	4.3	25	50	FALSE
John Ford	Just Pals	21 October 1920	6.6	195	50	FALSE
John Ford	Hitchin' Posts	September 1920	4.2	17	50	FALSE
John Ford	The Girl in Number 29	17 May 1920	2.6	14	50	FALSE
John Ford	The Prince of Avenue A	11 January 1920	3.5	17	50	FALSE
John Ford	Marked Men	21 December 1919	4.3	21	50	FALSE
John Ford	A Gun Fightin' Gentleman	29 November 1919	4.4	25	50	FALSE
John Ford	Rider of the Law	3 November 1919	4.3	20	60	FALSE
John Ford	Ace of the Saddle	18 August 1919	5	26	60	FALSE
John Ford	The Outcasts of Poker Flat	29 June 1919	3.9	21	60	FALSE
John Ford	The Last Outlaw	15 June 1919	4.5	22	0	FALSE
John Ford	Riders of Vengeance	9 June 1919	3.9	19	60	FALSE
John Ford	By Indian Post	24 May 1919	5.2	73	20	FALSE
John Ford	The Gun Packer	24 May 1919	3.7	16	20	FALSE
John Ford	Gun Law	10 May 1919	4.3	16	20	FALSE
John Ford	Bare Fists	5 May 1919	4	24	60	FALSE
John Ford	Rustlers	26 April 1919	4.2	18	0	FALSE
John Ford	A Fight for Love	24 March 1919	4.1	18	60	FALSE
John Ford	The Fighting Brothers	1 March 1919	3.9	15	20	FALSE
John Ford	Roped	13 January 1919	4.2	20	60	FALSE
John Ford	Three Mounted Men	7 October 1918	4.1	19	60	FALSE
John Ford	The Craving	6 January 1919	4.7	26	50	FALSE
John Ford	A Woman's Fool	12 August 1918	3.9	18	50	FALSE
John Ford	Hell Bent	6 July 1918	6.1	40	50	FALSE
John Ford	The Scarlet Drop	22 April 1918	3.5	16	50	FALSE
John Ford	Thieves' Gold	18 March 1918	4.2	19	50	FALSE
John Ford	Wild Women	25 February 1918	4.1	19	50	FALSE
John Ford	The Phantom Riders	28 January 1918	4.3	18	50	FALSE
John Ford	Bucking Broadway	24 December 1917	5.8	287	53	FALSE
John Ford	A Marked Man	19 October 1917	3.6	17	50	FALSE
John Ford	The Secret Man	1 October 1917	4.3	20	50	FALSE
John Ford	Straight Shooting	27 August 1917	6.1	227	57	FALSE
John Ford	Cheyenne's Pal	16 August 1917	4.6	20	20	FALSE
John Ford	The Soul Herder	4 August 1917	4.7	18	30	FALSE
John Ford	The Scrapper	9 June 1917	4.7	20	0	FALSE
John Ford	The Trail of Hate	28 April 1917	5.5	22	0	FALSE
John Ford	The Tornado	3 March 1917	5.5	30	30	FALSE
William Wyler	The Liberation of L.B. Jones	8 July 1970France	6.9	383	102	TRUE
William Wyler	Funny Girl	19 September 1968	7.6	10896	151	TRUE
William Wyler	How to Steal a Million	19 August 1966UK	7.6	12992	123	TRUE
William Wyler	The Collector	17 June 1965	7.6	6049	119	TRUE
William Wyler	The Children's Hour	19 December 1961	7.8	8557	107	TRUE
William Wyler	Ben-Hur	29 January 1960Brazil	8.1	127531	212	TRUE
William Wyler	The Big Country	1 October 1958	7.9	9960	165	TRUE
William Wyler	Friendly Persuasion	25 November 1956	7.5	4227	137	TRUE
William Wyler	Producers' Showcase	NA	8.4	52	90	TRUE
William Wyler	The Desperate Hours	13 February 1956Sweden	7.6	5907	112	TRUE
William Wyler	Roman Holiday	2 September 1953	8.1	78330	118	TRUE
William Wyler	Carrie	31 October 1952Finland	7.5	1343	118	TRUE
William Wyler	Detective Story	19 May 1952Denmark	7.6	4271	103	TRUE
William Wyler	The Heiress	10 February 1950Sweden	8.2	8248	115	TRUE
William Wyler	Thunderbolt	26 July 1947	7.1	114	44	FALSE
William Wyler	The Best Years of Our Lives	3 October 1947France	8.2	32956	172	TRUE
