team	wk	period
NE	1	Thursday evening
Buf	1	Sunday morning
Chi	1	Sunday morning
Hou	1	Sunday morning
Jax	1	Sunday morning
NYJ	1	Sunday morning
StL	1	Sunday morning
Wsh	1	Sunday morning
Ari	1	Sunday afternoon
SD	1	Sunday afternoon
Den	1	Sunday afternoon
Oak	1	Sunday afternoon
TB	1	Sunday afternoon
Dal	1	Sunday evening
Atl	1	Monday evening
SF	1	Monday evening
KC	2	Thursday evening
Buf	2	Sunday morning
Car	2	Sunday morning
Chi	2	Sunday morning
Cin	2	Sunday morning
Cle	2	Sunday morning
Min	2	Sunday morning
NO	2	Sunday morning
NYG	2	Sunday morning
Pit	2	Sunday morning
Wsh	2	Sunday morning
Jax	2	Sunday afternoon
Oak	2	Sunday afternoon
Phi	2	Sunday afternoon
GB	2	Sunday evening
Ind	2	Monday evening
NYG	3	Thursday evening
Bal	3	Sunday morning
Car	3	Sunday morning
Cle	3	Sunday morning
Dal	3	Sunday morning
Hou	3	Sunday morning
Min	3	Sunday morning
NE	3	Sunday morning
NYJ	3	Sunday morning
StL	3	Sunday morning
Ten	3	Sunday morning
Ari	3	Sunday afternoon
Mia	3	Sunday afternoon
Sea	3	Sunday afternoon
Det	3	Sunday evening
GB	3	Monday evening
Pit	4	Thursday evening
Mia (London)	4	Sunday morning
Atl	4	Sunday morning
Buf	4	Sunday morning
Chi	4	Sunday morning
Cin	4	Sunday morning
Ind	4	Sunday morning
TB	4	Sunday morning
Wsh	4	Sunday morning
SD	4	Sunday afternoon
Ari	4	Sunday afternoon
Den	4	Sunday afternoon
SF	4	Sunday afternoon
NO	4	Sunday evening
Sea	4	Monday evening
Hou	5	Thursday evening
Atl	5	Sunday morning
Bal	5	Sunday morning
Cin	5	Sunday morning
GB	5	Sunday morning
KC	5	Sunday morning
Phi	5	Sunday morning
TB	5	Sunday morning
Ten	5	Sunday morning
Det	5	Sunday afternoon
Dal	5	Sunday afternoon
Oak	5	Sunday afternoon
NYG	5	Sunday evening
SD	5	Monday evening
NO	6	Thursday evening
Buf	6	Sunday morning
Cle	6	Sunday morning
Det	6	Sunday morning
Jax	6	Sunday morning
Min	6	Sunday morning
NYJ	6	Sunday morning
Pit	6	Sunday morning
Ten	6	Sunday morning
Sea	6	Sunday afternoon
GB	6	Sunday afternoon
SF	6	Sunday afternoon
Ind	6	Sunday evening
Phi	6	Monday evening
